" GATE: Entry (ET)","Courage","Compromise","Psychic","Strength","TEAMMATE*","BELIEF","Crisis Outer","OBFUSCATE","Qi Letting go","Kundalini","Trespassing","Held","Qi Disconnect","BURDEN","General Facil","Suppression","Prescience","Aversion","Tribe","STRESS","CODE","Growth","INFLOW","Res In Phase","Story","Exchange","Ancestor","Compression","Move","CONSTRUCT","INFLAME","Return","Entry enables clean entry to the inner conditions being signaled. We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.  - Ralph Waldo Emerson","","","","","8","1","Misaligning force that is preventing the inner warrior from being able to feel and act from its courage","In the face of this challenge, one has been compromising one s resourcefulness and power in some way","A form of fixed ideation used as a projectile in psychic warfare or in out-of-body games","An inner part within one cannot express itself openly","Unchanging conditions anchored by the force of an ally s betrayal (check if this life or in the seeding source) ","Belief that interferes with the flow within and between the inner dimensions","A crisis or trauma memory trace that installs a repeating behavior pattern ","There is something within one here which needs strengthening","A belief that is no longer appropriate needs to be let go at an energetic level","Flexibility, flow and consequent joie de vivre is being blocked","Something is trespassing on the inner and life force is being expended to try to hold it off ","Held into, and ensnared by, an emotional patterning that is rising within one","A congested qi point is serving to create disconnection from instinctive awareness ","A burden that is attached to one s vessel is  making one feel stuck or trapped in the material universe","An action needs to be taken that will facilitate the process of ReUnion","An inherited or culturally implanted suppressive tendency is inhabiting one","Forces are present that drive one away from being entirely present with one s greater possibilities","A state of aversion, hypersensitivity, or frustration is circulating mercilessly within one","Tribal rules - the beliefs and paradigms operating in the family, group or culture - are impinging on one here","An external force that is stressing one s system","A coding for behavior and circumstance installed by crisis ","The sacred command to continue growing is being blocked or halted","There is resistance to the truth of something that is coming one s way","A resonance to go in phase with a force and sharpen inner focus in order to deal with it. ","An identity taken on from a legend, myth, sacred story or cultural fabrication","One is feeling the seeding source s inability to find true union and sweetness in their relationships ","The weight of the seeding source is smothering one s vitality in some way  ","A compressed inner aspect that needs opening or strengthening","What is needed to unstick one s inner tides","A held mental construct, unmoving subjectivity","What inflames the inner, irritation and upset","Needed element for complete return of a presently dormant force"
" Joy facilitation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Facilitation:- Load the Joy hand mode and Tap In.Client breathes deeply three times. - Then, while taking one breath in and out, client gently self massages K3 behind their inside ankle bone...Tap In.- Continue in the same manner with Bl55 behind and slightly below the knees...Tap In.- GB30 on the side of the buttocks at hip level...Tap In.- Lu1 just inside the forward side of the shoulders...Tap In.- K27 below the inner ends of the clavicles...Tap In.- TW19 behind the ears...Tap In. - Then facilitator taps GV21 at the top of the client s head several times while the client opens themselves to their own and the seeding source s true power to joyfully fulfill their desires ...Tap Up.","","","","","2/F","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Circuit facilitation","","","","","","Crisis Outer","","","","","","","","","","","","","","","","","","","","","","","","","","","Facilitation to break out from a circuit (done immediately after locating the circuit):1) Go to Crisis Outer and locate the trauma that initiated the circuit. Tap In.2) Stroke a horizontal figure 8 pattern (TL which direction) with the palm of the hand 2  or 3  out from the surface of the brow, its center being at the Dimension 2 Yin TL point and the motion stretching the figure 8 to about 12  on both sides. While doing so, continue feeling the circuit s release until it finally flashes away .... Tap In. 3) Turn the palm outward, visualize the seeding source before one, and stroke the figure 8 pattern in the same way on the seeding source ... Tap Up.If there is still an active hand, follow the Circuit submode s goto.","","","","","1/F","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Pulsing facilitation","","","","","","Growth","","","","","","","","","","","","","","","","","","","","","","","","","","","Facilitation:TL on the client s head and/or body for two hand hold points, and gently hold there with the palms while surrendering to Grace s healing until either a quiet or  softening  feeling occurs, or a new understanding is expressed by the client. If not in weakness, go to Growth.","","","","","2/F","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Alliances 1* facilitation","","","","","","Crisis Outer","","","","","","","","","","","","","","","","","","","","","","","","","","","Facilitation:1) If not known, assess Crisis Outer (do not follow goto) to ascertain what event is generating the sensation here being projected by the seeding source as an unawakened affinity net member.2) Have the seeding source open their heart and and acknowledge their (contact sensation). Tap In. Then have the seeding source gently embrace themselves with bright and forgiving light until one perceives them leaping into a joyful release  ... Tap In. Tap Up.","","","","","2/F","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Alliances 2* facilitation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Facilitation: Imagine an openness over your head  ... Tap In ...  and allow (bold font in the Alliances 2 file submode) being sent to you from the awakened members of your affinity net to come through that openness and all the way down through you.  Tap In. Repeat for the seeding source and any others who have come up in the session. Tap In. Give joyful thanks for what is being given to each of you here.  ... Tap Up.If there is still an active hand, follow the Alliances 2 submode s goto.","","","","","2/F","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Rescuers facilitation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rescuers Facilitation is done immediately after Rescuers comes up.If the seeding source has not yet been located, do so now (Seeding). 1)  Perceive (the negative aspect of the Rescuers submode) as a shadow lurking within (the seeding source)  ... Tap In. 2)  Now feel  a flash of light and (the seeding source s) whole presence suddenly being lit up with (the positive aspect of the Rescuers submode)... Tap In.3) Repeat this procedure for the client ... Tap In. 4)  Physically clap your hands in applause of (the seeding source s) and your own marvelous transformation here  ... Tap Up","","","","","1/F","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Facilitator/Teacher Repair ","Overpower","BURDEN","ACCOMPLISH","BLOCK","Outcast","Impatience","Path","CRF","Taboo","CONSTRUCT","TERRITORY","Future","Purpose","Together","IMPLANT","Rut","Harm","Powerdrive","Suppression","If Only","DEMONIC*","Inversion","Anxiety","CODE","INFLOW","GRACE","ESCAPE","Tickle","Reunion","HEART","REJECTING","Aversion","THIS FILE IS FOR FACILITATORS OR REUNION PROCESS TEACHERS ONLY.If at any time you find yourself confused, stuck in repeating patterns, not getting clients, or otherwise unhappy about facilitating ReUnion sessions, Facilitator Repair can serve to diagnose and untangle what forces are interrupting your motivation and growth as a facilitator. If you are blocked to the extent of not being able to do this session on yourself, pray for help, and get another viewpoint by a) running the session on a picture of yourself, and if still not resolved, b) have another ReUnion facilitator run this session on you. Sessions can be repeated if necessary.Procedure: Procedure: Load this file via its handmode, submode down to get the signal one is receiving during sessions, and follow its goto to bring in the signal s underlying force pattern. Special note: If the problem is that you keep getting the same submode number repeating, use SM Circuit as the Entry Form for your next session to handle this phenomenon. Each time someone stands up for an ideal, or acts to improve the lot of others, or strikes out against injustice, he sends forth a tiny ripple of hope. - Robert F. Kennedy","","","","","2","1","You are using your power instead of your faith, trying to  make it happen ","You are absorbed in the distraction of processing something in yourself,  busy signal  frustration","It feels to you that your sessions  don t work , that you are being ineffective","Doubt, anxiety or the sense of one s incompetence emanating from a collective one is resonating with","You can do sessions alone but you find yourself flinching away from doing sessions on other people","You feel exasperated by the inner s complexity and wish there was just one simple  solution ","You are still searching for a process that is  better than  the ReUnion process","You are worried there s some part of you or your clients that your sessions never seem to get into or handle","You feel that society or your family does not approve of this process and that you are  hiding  it from them","You find yourself wanting to look at the files while submoding them and  choosing  which submode to go to","You are getting confusions or failures in your muscle testing","You ve tried to  read  the future with muscle testing and it has not been successful","You are concerned that you have lost your original inspiration and excitement over running sessions","There is someone in your family, group, religion or your partner who is invalidating you as a skilled facilitator","Your sessions are confusing or incongruent and you are left feeling incomplete in some way","You are finding yourself getting bored with doing sessions, they all seem to be the same","You are afraid you might be harming or manipulating your clients or oneself in some way","You unknowingly have a hidden agenda or feel yourself trying to prove something","Sessions seem not to have allowed you to be any better off either financially or in your relationships","There is some sort of hidden standard by which you are judging the effectiveness of the process","You sense there is some  unknown  force interfering with your inner journey and confusing your intentions","You are not sure where you are going with this process or what its final destination is ","There s something about the ReUnion procedure that creates worry in you","You are concerned that the process seems endless that you ll never get free of all these forces","You are discomforted by an increasing sensitivity to other people s forces","You cannot find complete Surrender for the session","You find yourself impatient for the session to end or do not want to do sessions when the opportunity arrives","You feel everything s  falling apart  and that your sessions do not have enough power to handle this misfortune","You feel you have no real understanding of the spirit world or cannot  believe  in the presence of discarnates","You have difficulty feeling compassion for the client, your heart feels closed","You keep feeling an underlying level of incompetence or that you re fooling yourself in some way","You are experiencing a resistance within yourself about going into session"
" Facilitator/Teacher Repair ","SM Circuit","Hunger","EVIL*","Tribe","CHARISMA","Strength","Reassignment","Nurture","Weight","BLOCK","OBFUSCATE","Seeing","ENVY","Covert","Wall","Trust","STRESS","Weary","Sensitive","TEAMMATE*","Clutch","Faith","Purpose","But","MISSION*","REJECTING","DEFENSE","MAZE","OUTSYNCH","Unburden","Feelpower","INFLAME","THIS FILE IS FOR FACILITATORS OR REUNION PROCESS TEACHERS ONLY.If at any time you find yourself confused, stuck in repeating patterns, not getting clients, or otherwise unhappy about facilitating ReUnion sessions, Facilitator Repair can serve to diagnose and untangle what forces are interrupting your motivation and growth as a facilitator. If you are blocked to the extent of not being able to do this session on yourself, pray for help, and get another viewpoint by a) running the session on a picture of yourself, and if still not resolved, b) have another ReUnion facilitator run this session on you. Sessions can be repeated if necessary.Procedure: Load this file via its handmode, submode down to get the signal one is receiving during sessions, and follow its goto to bring in the signal s underlying force pattern.   Each time someone stands up for an ideal, or acts to improve the lot of others, or strikes out against injustice, he sends forth a tiny ripple of hope. - Robert F. Kennedy","","","","","2","2","You keep getting the same submode number repeating in your solar plexus counting","You feel you are doing sessions out of an uncontrollable  addictiveness  to spiritual or material supremacy","You associate the work in some way with your own or another s evil intention (find it, then go to Monster)","You seem to be on a feeling  roller coaster  - sometimes enthusiastic and sometimes depressed or dull","You can t seem to get people interested in letting you do sessions on them","You believe you are not  smart  enough, or lack the needed ability to run sessions well","You doubt that you are really helping others with this process","You find yourself resisting doing sessions with family members, close partners or good friends","The process feels too cumbersome or complicated, and you find yourself longing for a  simpler  way","You feel there s something you have found in your own life that is not being included in the ReUnion process","You have problems with telling the story or fully comprehending what s stated as going on","You have problems with clear visualizing during facilitations - that you are not doing  enough  to shift things ","You feel  inferior  in some way to other facilitators or other healers","You are secretly changing the procedure, or feel the impulse to do so, and you don t want others to know this","You feel deep down that, although you are receiving insights in sessions, nothing is really changing","You find yourself distrusting other facilitators or you do not trust the divine is  with  you in session","You get tense or anxious when you do sessions and cannot relax into the joy of the process","Your circumstances are making you too weary to do sessions with full attention and focus","You can feel  cold  or insensitive to your clients and doubt that the work is going to help","There is one problem, either physical or emotional, that does not seem to improve in you or your clients","ReUnion feels in conflict with a previously held system of beliefs that one holds as certainties","You have lost faith in yourself as a facilitator or in the process itself","Your sessions feel tedious at times - the inconvenience of the book or writing out the session get irritating","There s a condition in yourself that you have worked on which seems to go away, but it returns ","You keep finding yourself wanting to find THE answer, the one force structure that will free you/client forever","You don t really  buy into  ReUnion cosmology, e.g., implants, affinity nets, etc.","You feel threatened and confused by this work in some way","You feel lost and overwhelmed by all the force possibilities that lie within yourself or your clients","You wish that your clients or yourself would be more affected or  blown away  at the end of a session","You seem to repeatedly run the same set of files on yourself, as if you are in a  rut  of forces","You have a problem narrating the session story so that it impacts, excites and brings maximum understanding","The process irritates you in some way or makes you feel physically and emotionally uncomfortable "
"Clutch","Powerdrive","Future","Overwhelm","MISSION*","EVIL*","VULNERABLE","Outcast","Lessons","Control","ENVY","Taboo","Maya","IMPLANTindex","Overpower","Trust","MOTE","DOM YIN","DEMONIC*","ATTACH*","Creation","Curse","Death","CODE","Nurture","Game","Concealed","JOY","Prescience","Receptacle","Kundalini","Exchange","Frailty","Loss of confidence as a spiritual being can create a tendency to clutch onto a false belief that justifies and  explains  one s fear and unhappiness now. To prevent falling into what one fears to be the bottomless pit of uncertainty about the future, one retreats into an artificial certainty by discarding the open possibilities of one s infinite life. Clutch is about jammed reflectiveness and taking on rigid and limiting belief systems that justify one s fear of experiencing freedom. Because such belief systems are based on misinformation disguised as the truth in order to create tribal binding, those with an active Clutch force can only retain their certainty by both manipulating others to believe the same way as they do (cults, sects, etc.) and by forcefully resisting any efforts by others to reveal the falsity of their belief. Examples of such false certainties include, amongst many, those based on the final and literal truth of mere stories, the belief in elitism, or the justifying of harm to others as the  right  thing to do. Tradition is not the worship of ashes, but the preservation of fire.  - Gustav Mahler","","","","","2","1","A covert defensiveness is being passed onto one by the seeding source","In essence, one is experiencing the force of the seeding source s dread of an unwanted future","A false belief in the  virtue  of struggle or failure has been adopted as a  solution  to one s overwhelm","There is a culturally driven paradigm conflicting with one s ability to foresee what is to come","An evil purpose is pulsing within what is being passed onto one here (find evil intention, go to Monster)","Crushed by a sense of emotional vulnerability, one holds a false belief around one like armor","Believing that one burdens others in some way keeps underwriting one s presence with the need to belong","A false outlook is being taken on that makes one despair of ever being able to attain what one hopes for","One is succumbing to a system of belief based on misinformation established to control others","The anxiety here is being amplified by the seeding source s struggle with disappointment","Inwardly trapped by a prohibition passed onto one by culture, religion or family","The tension of this is making one fear that attaining the success or healing that one wants is a delusion","An implant shared with the seeding source has kept smothering the magic in one to create miraculous change","The seeding source s alarm at confronting the damaging force here can now be soothed and overcome ","An unworthiness grips one and smothers one s trust in oneself","The barrier here is an absorbed and/or inherited need to assert one s rightness by seeing the wrong in others","This has been promoting the falsity that the power one truly has is not really so and that one will not succeed","The effect of a demonic paradigm holding the seeding source has been furthering one s insecurity here","There is also a still existing parasitic force gripping one with the seeding source s fear of being exposed as weak","Inwardly one is here harboring the seeding source s fear and loathing of the pain within their inner world","Acceptance of a negative or harmful intention that justifies a set of false beliefs ","This was behind the seeding source s desire for death and an end of involvement with their material world","And a code is boxing one into a hesitation to go beyond this self limiting paradigm one is caught in here ","A suppressive projection is manipulating one s intentions in order to prevent one s realization of the truth","The seeding source s believing themselves to be a  victim  acted upon by  villains  is leaking into one s outlook","In sum, one is unknowingly taking on the seeding source s self repression and despair here","With all this, one is unable to allow oneself unconditional pleasure and hesitant before the possibility of miracles","This can demand of one to dismiss one s own valid power and surrender to others  judgments and opinions","One is being driven into frustration by absorption of the seeding source s shamed sense of insignificance","With this, one becomes unable to see the amusing texture of life, and one retracts into a rigid uncertainty","Sexual trauma or problematic union in a sexual partnership has corrupted one s sense of what is real ","The seeding source us passing on a set of false beliefs that aggravate one s fears by invalidating one s truth"
" Suppression","Outcast","ESCAPE","Survival","EXHAUSTION","Nurture","Weary","HEART","Clamp","REJECTING","EVIL*","Curse","Illness","Powerdrive","Compression","Trespassing","DEMONIC*","Genetic","Receptacle","IMPLANTindex","CODE","Dark Levels","Overwhelm","MAZE","VULNERABLE","CRF","Death","ATTACH*","Ancestor","INTRUDER*","Yoke","EM ","INFLOW","Suppression allows access to the urge within an identity with suppressive tendencies to bring untruth, fear, conflict, inertia and death into this world. It is the  evil eye  within that scans another s love light with jealousy and rage and which drives the identity to blacken this love light with material chaos and destruction. (See the previous information page for the signals of suppression). Under the influence of external suppression, one can turn these suppressive tendencies on oneself.Suppression can be assessed on individuals, groups or on oneself to illuminate the force trail of a suppressive identity that is still wired into one s sense of self. Not forgiving is like drinking rat poison and then waiting for the rat to die.  - Anne Lamott","","","","","1","1","This is promoting an existential confusion and anxiousness in the seeding source about the joys of mortality ","One has long been harried by the agony (Crisis Outer) gripping the seeding source here","Trapped in a reality which draped the seeding source that leaves one unable to feel the hope to go on","The debasing sense of inadequacy and let down felt by the seeding source is invading one here","One is suppressing oneself into a roller coasting sense of bitterness, let down and non survival","Creating a fasle weakness or danger that infects one s own or another s vitality and joy","What is here is hooding one s heart with the confusing sense of despair coming from the seeding source","One is driving one s life force to exhaustion by harboring this self suppressive fear and let down within one","Suppression by rejecting another s love, or self-suppression by feeling that one s love is being or will be rejected ","This suppression is coming from an evil intention, haunting the seeding source and now oneself","There is a sense of being cursed within the seeding source that is suffocating one s own spirit, mind and body","The seeding source here is pervading one s presence with a cloud of bitter mistrust and failed hopes","Victimizing oneself or others, or allowing oneself to be victimized, by hidden agendas","One s self confidence is being pressured with the invalidating judgments projected at the seeding source ","Finding oneself unable to hold off palpable feelings of failure, fear of disappointment or despair","One is being swayed by a demonic paradigm in the seeding source ","One is mirroring the pained frustration and self suppression that was at some point stifling the seeding source","What is here is psychically threatening one with endangerment and loss of what one can hope for","An implant shared with the seeding source has for some time been crushing one s clarity of intent","A trauma code in the seeding source is being stimulated and inculcating a sense of failure and decay","Submerging oneself or others, or allowing oneself to be submerged. into an inner pit of despair","With this, one is feeling drowned in a black sea of pain by one s difficult situation","The situation here is provoking a deep current of disappointment, distrust and inadequacy within one","The suppression is damaging one s own or another s defenses and creating collapse and openness to harm","A collective resonance field is suppressing one s own and the seeding source s true strength and good fortune","The seeding source has been disparaging themselves to explain not feeling valued nor able to succeed ","There is a parasitic force or being that is haranguing one and creating a repressive inner confusion","With this, one is threading the seeding source s self repression and loss of confidence into one s life","This is suppression that invades one with unjustified fear and a veil of inflammatory darkness","One has been suppressing oneself with this unresolved burden of misfortune from the past","Creating electromagnetic starvation in oneself or others by witholding truth and compassion","Progress that would positively nourish the seeding source energetically is being suppressed by this force"
" Mote Facilitation","","","","","","","*Energy Shape","","","Oils","Qi Acup Yang","","Pray","","Dimension*","","","Oils","","","Plants","","Qi Letting Go","","","Res Former","","","","","","","Facilitation: Put the General Facilitation mode in the active hand, and cross over to the other hand with the Mote mode and Tap In. Locate facilitation.","","","","","3/F","F","Ask divine Grace for healing, forgiveness and truth for oneself and the seeding source","Find an affirmation that counters the mote being projected - affirm it, tapping in each repetition, till weakness","Open the field from top down, like petals opening to the sun and emanating a beautiful fragrance ","With the authority of unconditional love, send supportive compassion to the seeding source","Pray for help to the seeding source in shifting an inner despair","TL for a communication line attached to one s vessel, Surrender and detach it","Energy Shapes Process","Communion with an angel - let an angel lay hands on one s vessel and heal one s heart","Invite the seeding source to see their own goodness","Put an oil or oil resonance on the palms and hold upwards with a prayer for clarity - follow oil goto","Yang acupuncture of a CV or a GV point - breathe deeply and follow point s goto","TL for two locations on the head or on the body (TL which), and hold with the palms until the anxiety is gone","Pray for ...","Visualize a symbol for the corrected condition being dealt with in this session and put it into the force TL","TL the dimensional chakras and receive and radiate a divine attribute for the dimension indicated","TL  for a self-worth point, imagine what gem is there and find its condition, repair per what is found","Ask the seeding source to find the courage to let go of the past and to go joyfully forward by one s side","Bless the mote s TL with an oil and release the seeding source with love - follow the oil goto","Explode away the shells around one s own and the seeding source s vessels and release all the pain here","Find one s own animal totem  - check its condition and, if needed, ask the divine to heal it","Bless the TL with a flower remedy - or use Plants resonance - follow Plants goto","Visualize seeing oneself in a mirror as one wants to be after the force is resolved","Acupuncture treatment to release one from an inappropriate self suppression or a misinformed belief","Feel the force within that is calling for attention and send admiration, laughter, and love to it","Open the situation or difficulty oneself and the seeding source are experiencing to Grace s loving guidance ","Empathic resonance to begin one s shift from an old state ","Feel a fluid beam of divine love entering the body through the top of the head and filling one with light","Oneself and the seeding source pray to be able to renew one s power to confidently envision success","Crystal on TL and Surrender to the divine s loving generosity - breathe deeply","Sensualize going on an adventure quest with the seeding source to find peace without mote projection","Embrace the seeding source and let both be washed in the divine s light","Have the seeding source take responsibility and let go of the force to the divine s love"
"  ID Archetype*","Hooked","Truth","CLARITY","GRACE","Seeing","Ascend","PILOT","Future","Inbody","IMPLANTindex","Suppression","Together","Concealed","AUTHORITY","HEART","CODE","CONSTRUCT","Outcast","Wall","Powerdrive","Reassignment","FEELPOWER","Innerworld","Anxiety","REALIGN","Overpower","Creation","Overwhelm","CHARISMA","Identity","JOY","TERRITORY","ID Archetype discloses the subtle archetypes that serve as  framing wire  for the self s construction of identities within the material world. Ancestral, true other life and pre-body programming and the fury of their forces fill the field and the flesh, but are all held together in  body form  by these basic identity paradigms. Each archetype points towards the self s choice of a  piece for the game , and can be internally perceived as one s sense of  destiny .Once dreamed by the self, the purity of these 32  destiny  archetypes is then dressed in the power of collective, ancestral, true other life and pre-body forces, and the resulting multitiered field is then unfolded into the material world as the human before you.Release of the forces in the human eventually allows the archetype  room  to come forward and present itself as one s greater reality.This file alerts one to an  aching  inner archetype within one that is struggling to overcome the forces built upon it.Facilitate immediately by TLing the field for the location of the ID Archetype on hand. Tap In, then command  Put your attention there (the TL) and become (the archetype).  Tap Up. Destiny is not a matter of chance, it is a matter of choice; it is not a thing to be waited for, it is a thing to be achieved.  - William Jennings Bryan","","","","","1","1","THE ADVENTURER - one who relishes the adventure of their path","THE TRUTH TELLER - one who reveals the healing light of truth to others who are struggling in the dark","THE TEACHER - one to whom others turn to gain understanding and knowledge","THE ORACLE - one who receives and passes on divine guidance through the uncertainties of this world","THE MEDIATOR - one who brings opposing ideas face to face to reveal a new truth","THE WITNESS - one who is willing to see what is without alteration or bias","THE NAVIGATOR - one who guides others through the complications and difficulties of existence","THE PROVIDER - one who brings what is needed for the benefit of others","THE FEELER - one whose emotional sensitivity brings greater understanding to others","THE MAGICIAN - one who rides the empowering waves of possibility flowing beneath outer reality","THE CREATOR - one who brings the new into existence","THE LOVER - one who opens their heart to others in joy and encouragement ","THE KNOWER - one who opens to the mystery, the wisdom of knowing that one does not know","THE TORCH BEARER - one who upholds the power of the light for others","THE HEALER - one who alleviates pain and distress","THE BEGINNER - one who passes by the negative or formulaic grip of the past - the  beginner s mind ","THE LIBERATOR - one who frees others and oneself from the gloom of suppression and misfortune ","THE VISIONARY - one who receives visions of a greater reality","THE WARRIOR - one who is willing to fight for what is envisioned","THE COMMANDER - one who has the power to direct the motion of others","THE LEARNER - one who seeks the new by absorbing what is old","THE RELEASER - one who frees others from paradigms that crush the spirit","THE NOBLE REBEL - one who resists tribal suppression by reinvigorating the nobility of others","THE ANALYSER - one who discovers truth through being willing to understand what is not the truth","THE MINISTER - one who elevates others by example and through service","THE LEADER - one who gives confidence and inspiration to others","THE ARTIST - one who creates and resonates with the beauty and power of new possibilities","THE NURTURER - one who cares for and encourages others to grow","THE INSPIRER - that which promotes the urge in oneself or others to do and feel what is good","THE PLAYER - one who consciously plays the game of life as a sacred event","THE ENCHANTER - one who demonstrates the power of freedom and a new life ","THE SEEKER - one who is seeking a greater truth"
" *Begin helpmode","","","","","","Yoke","","","","","","","","","","","","","","","","","","","","","","","","","","","To help one wash off the past and make way for the new, making a  clean break  Load the helpmode, open the heart and bathe in the fresh, clean light of the present moment and the divine s presence within it. Tap In. (Note, this is the same handmode as Lineage because what one most often needs a  clean break  from is generational).Go to Yoke. Fear not that your life shall come to an end, but rather fear that it shall never have a beginning.  - John Henry Cardinal Newman","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Qi Unholy","Unclean","Fixation","Rut","Wholeness","CRF","Deny","CHARISMA","Death","Outcast","Identity","GRACE","Wrong","RESOURCE","Future","Overwhelm","IMPLANT","Trust","Nourishment","PILOT","Misinformation","Control","OBFUSCATE","Nobility","VULNERABLE","INFLAME","Lessons","AUTHORITY","ATTACH*","Receptacle","Aversion","Yoke","DOM YIN","Influences that seduce us into believing that we are being guided or punished by the divine but which are in fact the deception of our own forces. One who conquers himself is greater than another who conquers a thousand times a thousand on the battlefield.  - BuddhaProcedure: Yang stimulate the point(s) appropriately, and let the vessel process until in weakness, take a big breath and feel the energy settle. Tap In and then follow the goto.","","","","","1","1","K2 - held by an unclean emotional pattern,self-sabotage of opportunity","CV14 - loss of control over one s identity","GV14.6 - loss of connection of the outer identity with the adventurousness of the inner self","LI19 - fear of being abandoned","GV2.7 - family s or a collective s pressure that is delaying one's power to nourish and to be nourished  ","CV1 - despair, hiding a reality, shame","St24 - feeling of not being connected to life or to others","Lu4.5 - wholeness or completeness forbidden","LI11 - the fear and bitternes of being rejected or abandoned","GV23 - cannot separate from an unwanted identity","GV17 - rejection of the divine s Light, unable to accept Grace, occupied by death and darkness  ","K21 -  There is nothing I can do about my wrongness  ","GV5.5 - loss of inner resource to deal with problems or accomplish goals","TW9.5 -  fear or panic, hunger to be free of the darkness that is within one","CS6 - lacking self-esteem, false accusation, turned away from self, field damaged","GV18 - the presence of an implant in resurgence","GV5 - paranoia, unable to trust, fear of betrayal","CS2.5 - self-worth destroyed by self, shame regarding one's need for nourishment","TW9 - no nourishment or sense of direction, diminishing faith in favor of effort","LI9 - seeding source misinformation, seduction of unreality","TW22 - belief  I cannot control myself , self-deprivation","GV13 - inability to express an inner urge (usually sexual), loss of courage to trust in self","SI16 -  I must suffer in order to earn the divine s love , compromise of one s nobility","Lu2 - unable to taste the sweetness of life, feeling unprotected and lacking authority","GV3 - irritability, flow of nourishment frozen","LI13 - inappropriate spiritual obedience, fear of spirits, fear of revenge from those one has harmed","H5 - own authority dismantled, wanting to die","Bl15 - entangled with a lost or aborted child","LI12 -  I am of little significance , self-degradation","GB24 - sexual slavery, incest, the force of daydreams, allergic resistance or irritability","GV20 - unable to face up to things, cannot let go of the past, a condition will not lift","K15 -  I am a loner , overwhelmed by the will of others, wounded receptiveness"
" CLOSING: *Energy Shape helpmode (E/S)","","","","","","Dark Levels","","","","","","","","","","","","","","","*Sabotage","","","","","","","","","","","","Energy shapes are self-created lower harmonics of implants, acting to discourage one from releasing force arrays by instigating the fear that one is losing a part of self in doing so. When a force array has been cleared by the ReUnion Process, the individual may reflexively energize or trigger electronic solidities in the vessel that command the return or rebuilding of the force pattern of the session back into that individual s vessel. One form of energy shape in particular, the  forgetter plate (*Sabotage helpmode) can also do the same thing if not cleared at the end of the session. 	At the very end of the session, after the ISelf Recognition repeat and just before the final Surrender, or if directed to this file during the session or from Implant Index 223, load the *Energy Shapes hand mode on one hand and then the other. And if, in doing this, one of the hands turns on strength, Tap In and TL for an energy shape in the body, field, chakra, environment, or around the seeding source or another being. Direct the client s attention to that spot and ask  Is there a shape, image or shadow that you can sense there?  (if the client cannot perceive what is there, ask  What do you think might be there? ... Ask the divine to embrace it with light until it flares away and is gone    . Tap Up. Check if the handmode reads again on either one of the hands and repeat if necessary. If Energy Shape comes up in the body of the session, do the above and then go to Dark Levels. ","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Dimension 9 Yang aspect attributes*","Exchange","Sealed","","","","","","","","","","","","","","","","Frailty","","","","","","","","Need","","","","Meaning","","Move","Sacred Attribute of Grace - one of a 108 basic elements or patterning frequencies of divine love inflowing and outflowing within all of life.Diamond Heart (root sound is OM, that all is being blessed, followed by an alive and blissful silence) is the manifestation point for the TimeISelf s movement into the transition space. Dimension 9 is located in the very center of the Dimension 4 heart chakra, the  light within the light , and from here the TimeSelf spreads itself out into Dimension 8 Great Yin and Great Yang, to form poles for the energetic Core flow and its spectrum of dimensional chakras, which in turn give formative  shape  to the pre-body vessel.Immediate facilitation - get the seeding source if not yet found, load the Dimension 9 mode and  Allow yourself to receive the feeling of the divine s love towards you as unconditional (the attribute in capital letters and its definition).  Tap In.  Then radiate out unconditional (the attribute in capital letters) as the divine s love for (the seeding source) and together thankfully feel the divine s love (the attribute s definition) .attribute in capital letters and its definition) . Tap Up. There is is not a moment when we are not sustained and held in existence by that presence. We forget God, but if God forgot any one of us for a moment we would not be.  - N. Gordon Cosby","","","","","18","17","The divine s love as unconditional CLOSENESS - that brings the universe to life around one","The divine s love as unconditional BEGINNING - that is the power from which all creation ensues","                                                ","                                                ","                                                ","                                                ","                                                ","                                                ","                                                ","                                                ","                                                ","                                                ","                                                ","                                                ","                                                ","                                                ","                                                ","The divine s love as unconditional SPLENDOR - that is the wonder that is driving one s true destiny ","                                                ","                                                ","                                                ","                                                ","                                                ","                                                ","                                                ","The divine s love as unconditional BESTOWING -  that lets one recognize life as a gift, a privilege","                                                ","                                                ","                                                ","The divine s love as unconditional REVELATION - that creates existence with enlightened perception","                                                ","The divine s love as unconditional ENDOWMENT - that is existence as fulfillment and celebration"
