File Code,Set#,Set total,Q1,Q2,Q3,Q4,sm0,sm14,sm124,sm245,Goto sm0,Goto sm14,Goto sm123,Goto sm245,sm1,sm15,sm123,sm345,Goto sm15,Goto sm124,Goto sm345,Goto sm1,sm23,sm125,sm1234,sm2,Goto sm23,Goto sm125,Goto sm1234,Goto sm2,sm24,sm134,sm1235,sm3,Goto sm24,Goto sm134,Goto sm1235,Goto sm3,sm25,sm135,sm1245,sm4,Goto sm25,Goto sm135,Goto sm1245,Goto sm4,sm34,sm145,sm1345,sm5,Goto sm5,Goto sm34,Goto sm145,Goto sm1345,sm12,sm35,sm234,sm2345,Goto sm12,Goto sm35,Goto sm234,Goto sm2345,sm13,sm45,sm235,sm12345,Goto sm13,Goto sm45,Goto sm235,Goto sm12345,Mode,Information
 Stress facilitation,F,1/F,,,,,Call in an angel and ask for communion and counseling for oneself and the seeding source,"With attention on force TL, put two crystals on either side of the TL along the meridian line TL is on - breathe",Have the seeding source and oneself surrender to Grace and perceive the true cause of this stress,TL and yang acupuncture two bilaterally different points of the same meridian (or 2 points on CV or GV),,,,,"Call the seeding source onto an imagined saucer of light, be with them until their wounding is healed","TL on the body and, by intention, release a black ball that represents a memory or false belief stored there",Ear acupuncture (see Ear Chart) - follow point’s indicated goto file,Find an appropriate positive affirmation and feel the light that arises within one as one affirms it,,,,,TL the seeding source’s vessel (visualized body or field) and stimulate it with an imagined dot of brilliance,Oil (or its resonance) on the palms and scoop out the field TL - follow oil’s goto,Go to Touch,General Facilitation,,Oils,Touch,General Facil,Wrap oneself and the seeding source in light to soothe away the stress within oneself and them,"Acupuncture treatment to release the stress of an isolating pessimism, of feeling deserted in some way",Open to the divine and ask that the stress within one here be lifted away from oneself and the seeding source,Yang stimulate CS3 (the need to reject what is real),,Qi Joining,,Outcast,Yang stimulate CS8 (feeling unable to make correct choices) and GV10 (insight compromised),TL for where the stress is in the body or field and by intention move it backwards in time until it flares away,"Ask the divine to lift away this stressful force from within one
",Resource Facilitation,Compromise,,,Resource Facil,Imagine embracing the seeding source and together rising up into the light of the divine,Empathic resonance to treat the stress homeopathically,Acupuncture treatment to clear the energetic disruptions being created by this stress,Go on an inner quest or imaginative journey to find the secret of the release of one’s stress,,,Res Catalyst,Qi Trails,TL for an acupuncture point and yang stimulate - breathe deeply - follow point’s goto,"Yang stimulate GB8 (misinformation, pain amplified) and pray for...
",A suppressive stress needs to be further understood before it can be cleared,TL for a chakra and clear that chakra of a stress using Chakra Facilitation,Meridian TL,Pray,Suppression,Chakra Facil,Territory Facilitation,The seeding source is to peel away a fixation coloring their vessel with stress,3 oils in triangular application around TL. Visualize this as a triangle of fire that changes colors,Find one’s own animal totem and heal any wounds it may have,Territory Facil,Fixation,,,Untitled.pct,"Facilitation:
Put in the General Facilitation mode in the active hand and cross over to the Stress mode on the other hand. Tap In and submode down to get the facilitation for this particular stress. "
 Survival,1,1,,,,,"One’s psychic state is blocking nourishing inflows and interactions, and creating loss of faith in one’s viability",A helpmode is needed to allow an inner opening for oneself and the seeding source,That aspect of one’s inner that is inspiration and receptiveness is being suppressed by this,A perceptual confusion is creating an inner embitterment and sense of discontinuity and disorder in one,Psychic,"*Helpmode
Index",DOM YIN,Haze Outer,The seeding source’s now revealed bitterness and anger here is locked into them by a trauma code ,The seeding source’s projection of also  being abandoned by Grace is dismantling one’s own certainty,But now the seeding source is calling out to one to recognize one’s own value and power despite all this,One’s heart is being frustrated by a sense of foreboding about one’s ability to survive or succeed materially,MOTE,Calling,ACCOMPLISH,CODE,"With this, one feels as if one is struggling without success to enact the truth of what one believes in",This anguish drifting into one here from the seeding source is staining one’s physical  and mental state,A life force displacement is indicating an uninspected fault line in one’s approach to the material world   ,The the seeding source’s sorrow can make one feel undermined or that others are covertly turning on one,Hallways,DEFENSE,Qi Element,HEART,One’s inner is locked into the seeding source’s outlook and being darkened by self doubt,One has been struggling with a despairing identity passed on here by the seeding source for a long time ,Despair or exhaustion leads one to feel that one has lost the sense of one’s purpose in life,This is a frozen inner patterning conflicting with one being able to manifest what one is yearning for here,Lineage,Identity,MISSION*,Held,A life force flow being painfully pinched off is threatening one’s sense of self worth and value to others,One’s power to overcome this is being daunted by an uncleared sacred attribute (TL for which dimension),"One’s field is torn, wounded or stricken in some way because of this (TL for location)","With this influencing one, one is taking on a confused idea about what is happening to one here",Qi Pinched,Dimension* ,FIELD,Haze Inner ,Needing to be ‘better than’ or to control others in order to feel confident is stressing one inwardly,This inner state is pushing one emotionally off balance into hurtful feeling of failure and endings,The band of chaos that one is going through needs one’s understanding,There is a persistent urge within the seeding source to keep brooding over their inner pain here ,ESCAPE,Powerdrive,State,Chaos,"Because of this, nervous exhaustion is provoking one and eating away at the harmony in one’s life",One is not allowing one’s heart and mind to master one’s material circumstances,The effects of the seeding source’s traumatizing abuse is impinging heavily on one here,One’s inner is being violated by an intrusive non-survival force,Weary,Wholeness,Crisis Outer,INTRUDER*,An implant shared with the seeding source is disabling one’s true strength of spirit,A lack of truth threatens one with meaningless pain,The stultifying wall of confusion and self invalidation here is making transformative change difficult for one,One is repressing one’s hopes that are  corrupted by this so that one will not feel hurt and defeat any more,"IMPLANT
Index",Truth,Wall,Persona,Untitled.pct,"Survival is about the basic thrust towards continuity. This file declares those forces that would interrupt one’s life as a bright and independent awareness. 
In defending self against such forces that would take one ‘out’, darken, or kill one’s consciousness, one may suffer a substantial and embittered alteration of inner energies, a loss of one’s values and affinity for others, and a haunting sense of meaningless pain and of being under the control of others.

‘Failure is usually the line of least persistence.’ - Wilfred Beaver "
 Taboo,1,1,,,,,"Not allowing one to expel a collective, cultural, or religious enforcement that has been planted into one",One’s hopefulness is being driven away by   a trauma coding in the seeding source that is impinging on one here ,Not being allowed to be the warrior that can confront and correct what one believes is wrong or false,Reaching out and shaping another reality is not being permitted,INTRUDER*,CODE,CHAINS,DOM YANG,One is being pervaded here by the seeding source’s sense of their vision being rejected by Grace ,"It is being insinuated that loving someone is wrong, or manifesting what one wants is impossible (TL which)",Feeling forbidden to express the spirit and strength to push back against those who would repress one,Being told to not let one’s heart ‘run away with you’ when making decisions about the possibilities before one,JOY,Faith,HEART,Powerdrive,One feels one is somehow being forbidden to express one’s power to manifest what one is envisioning ,And one is being pressured by what is being passed on here into believing that others are rejecting one,"The conflict one is going through makes oneness of body, mind and spirit with others seem implausible ","And because of this, one’s confidence is being infected by a sense that perhaps one is being delusional",Qi Confront,Creation,Wholeness,Unburden,"The seeding source was discouraged from empathizing with the pain being felt by others not of their ‘kind’
",The seeding source’s emanation of being condemned to pain and struggle has been cruelly undermining one,A certain expression of feelings that one sees as being ‘forbidden’ is whirling within one’s vessel,The seeding source has been unduly making themselves feel that they have no way out of their situation,Receptacle,Wall,Held,PILOT,"With this, one is hesitating to grow beyond the limitations promulgated by one’s culture, family or peers",Being made to feel it is ‘unrealistic’ to want to bring about a new paradigm for one’s existence,The tribal enforcement of control by piercing one with a paradigm that one is or must be a victim,This emanates from the seeding source not being allowed to look at the powers that exist within them ,Tribe,Birth,DEMONIC*,Prescience,Not being allowed to look at or explore a desired alternative or an ‘unacceptable’ relationship,The seeding source was led to believe that outwardly expressing their desires would make others reject them,Expressing one’s personal power is being dismissed or invalidated by the influence of a collective,Being pushed to angrily break off and withdraw from those that one feels have mistreated one,Mistreatment,Blinded,Strength,CRF,Spiritual insight beyond what is accepted by others is not permitted to be sought after or openly expressed ,One cannot have another concept of the divine or hold a different belief that expresses that concept,The gloomy beliefs in the seeding source are limiting one’s freedom to act and to trust with true certainty,This implies one is not being allowed to have relationship pleasure or financial certainty,Censor,GRACE,Clutch,Exchange,Certain feelings that might activate the inner’s true power are ‘forbidden’,One is not being allowed to create out of inspiration or to receive beyond what is now ‘acceptable’,One is experiencing the pain created by an implant shared by the seeding source and oneself here,Not being allowed to receive or take in what one needs or desires,FEELPOWER,DOM YIN,"IMPLANT
Index",INFLOW,Untitled.pct,"Taboo deals with ‘sacred’ or ‘traditional’, or otherwise infectious prohibitions, which make particular people, things, or ideas appear sullied, untouchable, or unmentionable. Such putative restraints, installed by cultural, family, or religious pressure, act as negative and abusive commands that forbid our own integrity, inner guidance and insight, and shame us into ignorance in order to take power over us.

‘We have to continually be jumping off cliffs and developing our wings on the way down.’ - Kurt Vonnegut
"
 Teammate*,1,2/F,,,,,One is suspending oneself in the smothering force of a feeling that diminishes one ,The force of a trauma coding being created and sliding through one,There is a hesitancy or unwillingness to receive or accept the truth about the situation,A confusion in one’s perception of the world,Held,CODE,INFLOW,Haze Outer,"The seeding source succumbed to an evil purpose (find the evil purpose, facilitate Teammate, then Monster)",The seeding source’s openness and enthusiasm is being hemmed in by another’s cruel negation,One is being daunted by the seeding source’s heartbreaking inner loneliness,One’s consciousness is being harassed by another’s promotion of a form of cultural or religious programming,DOM YIN,Tickle,Story,EVIL*,The pain within the seeding source of another’s hurtful uncaring is invading one’s sense of relationship ,This despair in the seeding source is being fostered by their nagging doubt about being able to fulfill another,Being accused and deserted without apparent reason that creates dark fear of what is really going on,The seeding source’s harsh self  invalidation for failing in some way has been piercing one here,Overpower,Lame,Mistreatment,FIELD,Inflicting of being inflicted (TL which) with a cruel behavior that darkens all concerned with shame,Another’s abandonment or rejection made the seeding source feel lost in an inflamed labyrinth of wounded pride ,A lost sense of wholeness sends one’s inner spinning into hopelessness,The seeding source’s harsh rejection by another brought on a discrediting belief that is sitting in one also,Blinded,MAZE,Wholeness,BELIEF,"The stress of an ally harshly demeaning and invalidating one’s bold creativity, confidence and freedom  ",Enforcement of an implant trance state that resists change and creates an aura of trapped energy,One is projecting outward an old and uninspected decision that has been squatting within one,The seeding source’s shock at being betrayed by another has been permeating one’s trust,STRESS,"IMPLANT
Index",Fixation,Ancestor,Inwardly harassed by another’s negative or harmful intention which justifies one being rejected by them,A this life or the seeding source’s past traumatization is haunting one,Past let down and disappointment is still wounding one’s outlook,The path chosen by the seeding source being denigrated by an ally or family member,Strength,Curse,Crisis Outer,Frailty,The seeding source is under the influence of a negative psychic permeation,"A inner confusion in one from lies, an alteration of truth or other forms of misinformation",The toxic feelings from this are still poisoning the seeding source and veiling one with distrust,One’s vividness is dispersed and making one feel unable to take one’s journey through life,Psychic,Misinformation,Toxic,CHAINS,The need for power over others both shames and drives one,"The body’s problems or one’s material circumstances thrust one into despair, anger or confusion",An inner voice that keeps directing one wrongly,One is uncomfortable within a relationship,Powerdrive,Body,Little Devil,Together,Untitled.pct,"Use: After assessing the file, determine by muscle questioning the abuse source - self abuse, abuse by the seeding source, abuse from a spouse or lover, friend, peer, a parent or other family member, authority figure, or group. 
If necessary, use Crisis Outer to clarify the nature of the abuse (but do not follow the goto).
Go immediately to Teammate Facilitation.

Teammate deals with an ally’s, sexual partner’s, parent’s, one’s own body or a collective's (culture, peer group, family, or religion) or self betrayal, deterioration or Abuse (Latin abusus, a using up, being made to receive what one doesn’t want) which freezes one’s Inner vitality and ability to be, do or have in some particular area of life. 
This abuse can be of or by oneself, an ancestor, pre-body or other being, and creates an ‘insolvable’ problem which appears not to respond to treatment and also can create a later addiction to abuse.
By locating the abuser and the abused and the forces they have stimulated within (as delineated in these pages) a substantial ‘thawing out’ can be experienced, restoring the vitality needed to solve what has been ‘insolvable’.
 
‘The wings we have are so fragile they can break from just one word, or a glance void of love.’ - St. Catherine of Sienna
"
 Teammate*,2,2/F,,,,,One has been allowing another being’s or group’s agenda to psychically weaken one with anxiety,This is a way of living within a partnership or group that is abusive and unwanted,A past betrayal in the area of making right choices or decisions,There is a reluctance to accept oneself as one is or to accept intimacy from another ,Overwhelm,Living,Decision,Aversion,The seeding source is holding onto a past pain and disappointment and allowing it to darken the present,A pattern of disappointments that makes one lose one’s confidence and feel demeaned by fate,A hurtful sense of being abused within one is not allowing the release into the love one is yearning for,A negative idea is circulating through one’s vessel as an endless energetic loop,AUTHORITY,Decay,CIRCUIT*,Yoke,"The abusive limitations prevailing in one’s family, partnership or friends that drive one to angry exasperation",Another’s misdirected reach outward is serving to be abusive to one,One’s intentions are being reversed and leading one into great frustration,A past relationship betrayal keeps prodding one with distrust and confused uncertainty,Tribe,DOM YANG,Inversion,Courage,An abusive projection directed at the seeding source is also abusing one and creating fear and irritability ,One is undergoing an inner turmoil that makes one unable to accept Grace’s blessings,One feels unable to express or openly reveal what needs to be expressed from one’s troubled heart,A nagging urge to discard a relationship because of the presence of betrayal within it,INFLAME,GRACE,OBFUSCATE,ESCAPE,Feeling deserted or unsupported by those that once loved one is causing one to lash out in anger,There is a difficulty in activating the appropriate feelings in one for the situation,One is unable to accept the flow of change within one’s life and suffering a loss of joy,One is being invaded by a force that has been burrowing deep within the seeding source’s psyche,ALLIANCES 1*,FEELPOWER,Kundalini,INTRUDER*,A broken heart causes an unwarranted conditionality to veil one’s desire to love and be loved,One is caught by the abusive influence of a parasitic being or force,Feelings of vulnerability are scurrying through one’s heart,Being deliberately led into an inner fog of confusion that sinks one into despair and deep anxiety,Haze Inner,HEART,ATTACH*,VULNERABLE,One is being weighed down by suppressed feelings from a past betrayal or abuse,"A chakra is blocked, muddied or overloaded",An asset one possesses is being held off and not inwardly accepted,One’s energetic vitality is being dampened,BURDEN,CHAKRA,REJECTING,Electricbody,Unable to let go of an upset and conflicted identity that keeps inhabiting one,One feels cursed by the outlook of the seeding source,Stiffened or suppressed emotion is jacketing one’s system,A threatening fear of not being able to go on is haunting one,Identity,Lineage,PULSING,Survival,Untitled.pct,"Use: After assessing the file, determine by muscle questioning the abuse source - self abuse, abuse by the seeding source, abuse from a spouse or lover, friend, peer, a parent or other family member, authority figure, or group. 
If necessary, use Crisis Outer to clarify the nature of the abuse (but do not follow the goto).
Go immediately to Teammate Facilitation.

Teammate deals with an ally’s, sexual partner’s, parent’s, one’s own body or a collective's (culture, peer group, family, or religion) or self betrayal, deterioration or Abuse (Latin abusus, a using up, being made to receive what one doesn’t want) which freezes one’s Inner vitality and ability to be, do or have in some particular area of life. 
This abuse can be of or by oneself, an ancestor, pre-body or other being, and creates an ‘insolvable’ problem which appears not to respond to treatment and also can create a later addiction to abuse.
By locating the abuser and the abused and the forces they have stimulated within (as delineated in these pages) a substantial ‘thawing out’ can be experienced, restoring the vitality needed to solve what has been ‘insolvable’.
 
‘The wings we have are so fragile they can break from just one word, or a glance void of love.’ - St. Catherine of Sienna
"
Teammate Facilitation - no submode,F,2/F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crisis Outer,Untitled.pct,"Facilitation: 
Determine who is the source of the abuse ..... assess Crisis Outer to determine the nature of the abuse.

1) ‘Open yourself to (the abused being’s) feeling during this abuse ...’ Tap In. ‘Then get how (the abuser) might have felt during this abuse ...’ Tap In. ‘Are there are any memories coming up of similar abuse in your own life? ...’ Tap In. ‘
2) ‘Prayerfully open to Grace’s love for (the abused being and the abuser), and ask on their behalf that all the pain and shame within them be allowed to transform into compassion for each other’ ... Tap In. Repeat for the client if there was similar abuse in their life.
3) ‘Feel (the abused being and the abuser) now rising up together into Grace’s light and let the remainder of the abuse force percolate off in flows of true forgiveness and love for each other (until in weakness) ...Tap In. Repeat for the client if there was similar abuse in their life. 
Tap Up, and continue with the Teammate goto.
If not in weakness, more about the abuse is draining vitality, so resubmit the feeling memory to the divine for change as in steps 2) - 3) above.
"
 Territory,1,2/F,,,,,A sacred attribute needs clearing to repair trust in one’s instinctive guidance about this (TL which dimension),One’s instinctive knowing is in darkness from this and needs a key illumination to open it up,A repeating pattern is reinforcing one’s mistrust in one’s powerful ability to reach out and be successful,Instinctively held forces put one in a state of making oneself  or others ‘wrong’ or ‘bad’,Dimension*,PASSKEY,Living,Wrong,The seeding source’s guilt and sadness now exposed here has been clouding Grace’s true guidance,There is an unconsidered instinctive state here that is throwing one’s creativity and guidance off balance,One’s full potential is being blunted by the gut level distress in the seeding source haunting one’s confidence,The seeding source’s model of reality that is stored in one’s own mind is impelling this anxiety and tension,State,RESOURCE,MINDFIELD,GRACE,"Behind all this, the loss of a partner or other loved one in the past is still draining the seeding source",The losses one has been experiencing from this have kept spinning one into tense sense of self debasement ,"TL, if needed, for the chakra that is being disrupted by this instinctive self suppression","With this, one finds oneself burdened by bouts of feeling that what one believes is true might not really be so",Yoke ,Exchange,CHAKRA,INFLAME,"From this, an aura of rejection wells up within one and makes one feel distant from what one loves ",This is a wounding of the instincts being emanated by the seeding source and fermenting in oneself,One’s instinctive sense of one’s place and progress in this world is being darkly contaminated by this,An angry darkness within the seeding is putting them conflict with one attaining success,Ejection,Powerdrive,Core,Hallways,A belief embedded in the seeding source’s instinctive landscape is overriding one’s creative passion and drive,Authority over one’s circumstances can be renewed by recognizing the inappropriate fears within one here,There is a legacy still embedded in the seeding source from this that denies the truth of one’s power,"With this, one’s charismatic presence within relationships is being blunted at the instinctive level",BELIEF,Body,Lessons,CHARISMA,The internal distress of this is shutting off the power of one’s instinctive creation of nourishing change,The seeding source’s influence is also making one painfully vulnerable to the despair and fear in others ,Chaotic or seductive inner voices are taking control of one consciousness,A trauma code in the seeding source is making one instinctively condemn one’s power to heal what is here,CODE,Kundalini,VULNERABLE,Little Devil,An emotional patterning in the seeding source has been creating these false   ‘instinctive’ feelings in one,Submitting to others’ cruel or despairing psychic waves has been disorienting one’s true inner guidance,"Because of this, a profound inner confusion keeps tangling one inside its insidious web",One’s instinctive landscape is hosting an invasive force of some kind from the seeding source,Held,Psychic,MAZE,INTRUDER*,Failure or disappointment and a reflexive loss of purpose makes one feel instinctively aimless,"One’s inner landscape has, in effect, been poisoned in some manner",One’s instincts are being darkly colored by a harmful thought process arising from the seeding source,An inner fog of instinctive confusion has settled within one and created one’s sense of discouragement,Purpose,Toxic,Psychic,Haze Inner,Untitled.pct,"Territory deals with the vulnerable underbelly of our drive and dynamism, the way forces are shaping our inner instinctive scenery, impelling certain tendencies in the fashioning of immediate thoughts, feelings and physical responsiveness. The instincts are our tool for the body-mind’s sensitivity to states of being (and are responsible for the change of muscle tone employed in muscle testing). 
Under jurisdiction of this instinctive landscape are formed our ‘gut’ reactions, our feelings and mental states that are stored within the ‘reptilian brain’. By understanding the state of this inner instinctive geography, one takes back aware control of that which, till now, may have only been a reflexive, sometimes inappropriate reaction.

‘Ideas pull the trigger, but instinct loads the gun.’ - Don Marquis


"
 Territory,2,2/F,,,,,One’s instincts are being discolored by one’s clinging to a mentally driven distrust ,One’s inner world feels overpowered and made ‘heavy’ or gloomy by the weight of this state holding one,One’s inner territory is being held by the power of a curse that the seeding source is holding onto,One’s instinctive geography has succumbed to an inherited implant,CONSTRUCT,Weight,Curse,"IMPLANT
Index",An instinctive self judgment in one is denying the truth of one’s power to create healing and fulfillment,One’s instinctive understanding is being smothered by a loss of faith in others,One’s is instinctively concealing a powerful truth from one’s conscious awareness,A hidden standard one is holding at an instinctive level is dislodging one’s sense of being attractive ,Faith,Truth,If Only,Excuse,Turmoil in the seeding source is leading one to disbelieve the good possibilities that could be approaching one,The life force nourishing one’s instinctive insight and strength is being blocked by a wearying inner opposition,One’s power and confidence is downed at an instinctive level,There is an instinctive hesitation within one to trusting others fully,HEART,EXHAUSTION,AUTHORITY,Seeing,A decision made in the seeding source is frozen into place within one’s instincts and confusing one’s clarity,"Instinctive rejection of certain inflows, or the inability to receive and be open, haunts one’s inner landscape",Feelings that would nourish and activate one are being suppressed within one’s inner landscape,The wounding of past misfortunes are infecting one’s instincts with a sense of pained alienation,Fixation,INFLOW,FEELPOWER,Mistreatment,And a powerful nobility within one is being suppressed by this,An aversion towards oneself or others is anchored within the instinctive geography of one’s inner world,"One’s inner is haunted by a ‘gut level’ loneliness, separateness or alienation",One is sinking into a troubled identity that is evading the truthful revelations of one’s guiding instincts,Nobility,Aversion,Outcast,Identity,This is an instinctive force here dismissing one’s hopeful sense of inner guidance and making one feel lost,An insatiable appetite within one has taken control,One’s instincts lead one to become ‘domesticated’ by a loss of spirit and one’s need to compromise,Persistent self-invalidation of one’s inner strength and spaciousness is fragmenting one’s intuitive instincts,Strength,PILOT,Hunger,Compromise,An embittered fear about one’s potential for survival or for carrying on is simmering within one ,The seeding source is calling out to one to help one and them gain clarity at an instinctive level,A concealed but active force burrowed deep in one’s instincts needs to be brought to light,One’s inner landscape is under the thrall of the seeding source’s outlook or attitude,Survival,Calling,Concealed,Lineage,Inherited or absorbed feelings of being devalued and betrayed are squatting within one,"A fogged perception, corrupted by the instincts, creates an ever deepening confusion",Issues around partnership with others or with the divine are being instinctively denied and passed by,The seeding source’s impingement on one’s instincts saps one’s control over oneself,Death,Haze Outer,Together,Ancestor,Untitled.pct,"Territory deals with the vulnerable underbelly of our drive and dynamism, the way forces are shaping our inner instinctive scenery, impelling certain tendencies in the fashioning of immediate thoughts, feelings and physical responsiveness. The instincts are our tool for the body-mind’s sensitivity to states of being (and are responsible for the change of muscle tone employed in muscle testing). 
Under jurisdiction of this instinctive landscape are formed our ‘gut’ reactions, our feelings and mental states that are stored within the ‘reptilian brain’. By understanding the state of this inner instinctive geography, one takes back aware control of that which, till now, may have only been a reflexive, sometimes inappropriate reaction.

‘Ideas pull the trigger, but instinct loads the gun.’ - Don Marquis"
 Territory facilitation,F,2/F,,,,,TL for where the central energy core is displacing and in which direction - sink it back to body’s central axis,Ask the seeding source to take out the force or sickness that is permeating one's dynamism,Connect the force TL with the seeding source’s vessel (TL for position) and await dissolution of the force,"With attention on force TL, put two crystals on either side of the TL along the meridian line the TL is on - breathe",,,,,"With the seeding source, be quiet together and let both hearts be opened to the bliss of love",Heart Facilitation,Oneself and the seeding source together surrender and sing in praise of the divine’s ever present love,Inflow Facilitation,Heart Facil,Tickle,Inflow Facil,,"Yang stimulate GV20 and points 1” above, below and to either side of this point",Pray ...,Empathic resonance to stimulate homeopathic treatment for one’s  instinctive geography,Stress Facilitation,,Pray,Res Catalyst,Stress Facil,Call in an angel to help the seeding source,Ingest a flower remedy - or use Plants resonance - follow Plants goto,"TL for the chakra that needs clearing, hum and vibrate it with one’s voice, and then be still and listen",Dominated Yin Facilitation,,Plants,CHAKRA,Dom Yin Facil,Yang stimulate GV26 (a sense of ending) and CV24 (belief that what one is doing is not working) - breathe,Acupuncture treatment for the sense of  isolation or aloneness,Find by TL a seed of light within the body or field and invite it to grow and flourish into a spacious joyfulness,Surrender and ask how to facilitate the inner instinctive territory,,Qi Joining,,,"With the authority of unconditional love, help the seeding source",Resource Facilitation,An implant that is coloring one's deep instinctive territory needs clearing,Pray that the balance between one's yin receptiveness and yang responsiveness be restored,,,Resource Facil,"IMPLANT
Index",Mindfield Facilitation,One’s electromagnetic field needs clarification,A component of one’s inner power needs to be understood and allowed to express itself,Acupuncture treatment to bring greater awareness of one’s instincts to one’s conscious consciousness,Mindfield Facil,EM,ID Archetype,Qi Center,"Two hands, one on the TL and the other on the other side of the body - breathe deeply",Image a honey-colored webbing holding pitch blackness into the body. Turn the darkness silvery white,Feel the power of “Thy Will” in the solar plexus - let go to the divine,Dominated Yang Facilitation,,,,Dom Yang Facil,Untitled.pct,"Facilitation:
Put in the General Facilitation mode in the active hand and cross over to the Territory mode on the other hand. Tap In and submode down to get the facilitation. 

"
 Together,1,2,,,,,"A resonance to go in phase with, and sharpen focus on, the force disrupting one here",The seeding source’s unclean feelings are permeating the validity of one’s own relationships ,"One is being infiltrated here with the seeding source’s disappointment, regrets, and wanting to escape",One is unable to offer some part of one’s inner world to relationships,Res In Phase,Qi Soiled,ESCAPE,Innerworld,The seeding source’s feeling of being let down by life has been seeping into one and stifling one’s power ,An implant shared with the seeding source is denying what they and oneself have been yearning for ,The seeding source feels without the strength to come to a healing place and solve this burden,"With this, the joy of one’s relationships is being frayed by a continuing false threat of betrayal or abandonment ","IMPLANT
Index",VULNERABLE,CHARISMA,Deepfeel,"Behind what is here, the seeding source’s distress about feeling demeaned is still being stored within one ","The seeding source’s anxiety here has been stressing one with visions of betrayal, failure and endangerment",A trauma code in the seeding source is here serving to overwhelm one’s sense of confident union with others,One’s hopes here are being stained by the seeding source’s lingering anguish,Curse,Misinformation,CODE,RESOURCE,"Contentment in one’s love relationships is being invaded by a cultural, religious or family limiting inner state ",Distrust about the scope of one’s abilities keep welling up because of the seeding source’s collapse here ,"One’s field (TL for location) is assailed and damaged, creating untoward flows in one’s relationship with others","With what is here, doing what one loves to do can feel unwittingly strafed by a sense of others’ rejection ",Tribe,Trust,FIELD,CLARITY,And the seeding source’s self defeating sense of isolation here further scars one’s clarity and hopefulness,There is an absorbed belief here that is in conflict with the intensity of one’s hope for one’s future ,Being unable to let go of something from the past and be in the present is disturbing one’s relationships,A trauma state within the seeding source’s relationships has here been infiltrating one’s hopes (Crisis Outer),Outcast,BELIEF,Kundalini,Crisis Inner,"A denied or hidden purpose in the seeding source conflicts with true union, association or partnership","A tumor of feelings, walled in within one, is coloring one’s efforts towards success and union with others ",Partnership with another or with the divine  is being darkened by one’s hesitancy to receive or experience love,"With this, one keeps disbelieving the nourishing fulfillment that is about to be offered by Grace",Blinded,Purpose,BURDEN,INFLOW,Intimacy with loved ones and with Grace’s power is being hounded by the seeding source’s anxiety here,The warmly embracing nature of one’s heart becomes fearful before true and trusting partnership ,One tends to succumb to irritability and upset without recognizing the part one has played in the situation,There is a discomforting influence from the seeding source over one’s union with others,CHAINS,HEART,INFLAME,Ancestor,Supportive intimacy with others is being  fragmented by compulsive self-repression of one’s noble power,Intimacy in one’s relationships is pervaded and wounded by what has happened in the past,A frozen emotional patterning is gripping and decaying the potency of one’s union with others or with Grace,"A tangling within brings one profound discontent in union, partnership or association",Clamp,Attend,Held,MAZE,Untitled.pct,"Together deals with those factors that interfere with the integrity of a union, association or partnership of any sort which require trust and cooperation. Such a partnership can be between two people, between oneself and the body, with any gathering of a community or group, between oneself and other life forms, with the things of this world, with one’s destiny, or with the sacredness of the divine. 

‘The Beautiful One whom I adore has pitched His royal tent inside of you, so I will always lean my heart as close to your soul as I can. - Hafiz, translated by Daniel Ladinsky   
"
